date,year,month,total_emissions_concur,total_emissions_epa,fiscalyear,total_trips
2017-07-31 00:00:00,2017,7,1292.66518,1141.514698,FY17-18,2801.0
2017-08-31 00:00:00,2017,8,1126.41128,997.9802926,FY17-18,2028.0
2017-09-30 00:00:00,2017,9,837.798972,732.492642,FY17-18,2034.0
2017-10-31 00:00:00,2017,10,928.1836883,793.3095555,FY17-18,3016.0
2017-11-30 00:00:00,2017,11,803.0303212,694.765975,FY17-18,2338.0
2017-12-31 00:00:00,2017,12,637.6819095,560.045239,FY17-18,1770.0
2018-01-31 00:00:00,2018,1,1469.865244,1297.575366,FY17-18,3466.0
2018-02-28 00:00:00,2018,2,539.4490332,464.6426164,FY17-18,1695.0
2018-03-31 00:00:00,2018,3,1129.776491,990.0638077,FY17-18,3009.0
2018-04-30 00:00:00,2018,4,904.104786,775.7191114,FY17-18,2905.0
2018-05-31 00:00:00,2018,5,840.1096034,731.5585046,FY17-18,2506.0
2018-06-30 00:00:00,2018,6,1049.96324,911.6864587,FY17-18,2974.0
2018-07-31 00:00:00,2018,7,1143.410512,1000.426306,FY18-19,2444.0
2018-08-31 00:00:00,2018,8,862.2418323,760.6447282,FY18-19,1773.0
2018-09-30 00:00:00,2018,9,662.1275367,571.5477718,FY18-19,2004.0
2018-10-31 00:00:00,2018,10,682.4887277,585.6365596,FY18-19,2240.0
2018-11-30 00:00:00,2018,11,709.2584807,614.7572709,FY18-19,1971.0
2018-12-31 00:00:00,2018,12,300.3668872,257.1613938,FY18-19,956.0
2019-01-31 00:00:00,2019,1,721.2621276,619.6251248,FY18-19,2218.0
2019-02-28 00:00:00,2019,2,469.9033266,400.4450261,FY18-19,1551.0
2019-03-31 00:00:00,2019,3,930.5238713,799.6631335,FY18-19,2947.0
2019-04-30 00:00:00,2019,4,643.8451097,531.8071241,FY18-19,2562.0
2019-05-31 00:00:00,2019,5,752.7349896,642.635698,FY18-19,2596.0
2019-06-30 00:00:00,2019,6,961.5800452,830.5314008,FY18-19,2868.0
2019-07-31 00:00:00,2019,7,942.7911143,826.2149645,FY19-20,122.0
2019-08-31 00:00:00,2019,8,680.6024139,597.4278399,FY19-20,84.0
2019-09-30 00:00:00,2019,9,624.1823013,539.5447596,FY19-20,72.0
2019-10-31 00:00:00,2019,10,729.4403984,609.7304828,FY19-20,2956.0
2019-11-30 00:00:00,2019,11,647.0875424,549.3327293,FY19-20,2282.0
2019-12-31 00:00:00,2019,12,587.0009563,510.6465622,FY19-20,1589.0
