date,year,month,fiscalyear,business_area_code,school,emissions,trips
01-07-2017,2017,7,FY17-18,0,Unavailable,802.3407106,1998
01-07-2017,2017,7,FY17-18,100,INSTITUTION WIDE FUNDS,0.76476461,2
01-07-2017,2017,7,FY17-18,101,University Administration,20.63867523,112
01-07-2017,2017,7,FY17-18,110,Homewood Student Affairs,10.69748525,73
01-07-2017,2017,7,FY17-18,115,Krieger School of Arts and Sciences,23.65302778,84
01-07-2017,2017,7,FY17-18,120,Whiting School of Engineering,16.16060011,58
01-07-2017,2017,7,FY17-18,125,School of Education,1.379945273,6
01-07-2017,2017,7,FY17-18,126,Carey Business School,5.633037989,16
01-07-2017,2017,7,FY17-18,130,Sheridan Libraries,2.481933774,5
01-07-2017,2017,7,FY17-18,135,PEABODY INSTITUTE,0.751393614,10
01-07-2017,2017,7,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,5.557993831,13
01-07-2017,2017,7,FY17-18,142,NANJING CENTER,0.757981826,7
01-07-2017,2017,7,FY17-18,160,Bloomberg School of Public Health,12.26334555,36
01-07-2017,2017,7,FY17-18,165,School of Nursing (SON),21.33693337,57
01-07-2017,2017,7,FY17-18,170,School of Medicine (SOM),80.55136228,220
01-07-2017,2017,7,FY17-18,212,CGEPI,4.746682986,12
01-07-2017,2017,7,FY17-18,215,CENTER FOR TALENTED YOUTH,14.64412153,47
01-07-2017,2017,7,FY17-18,235,JHPEIGO,62.2739918,114
01-07-2017,2017,7,FY17-18,440,JH Community Physicians,5.032434545,14
01-07-2017,2017,7,FY17-18,450,JH HEALTH SYSTEM CORPORATION,20.88523881,55
01-07-2017,2017,7,FY17-18,480,Johns Hopkins Hospital,10.60812903,37
01-07-2017,2017,7,FY17-18,520,Johns Hopkins International,11.80384436,33
01-07-2017,2017,7,FY17-18,530,JHHCG CORP (GROUP),1.54120125,2
01-07-2017,2017,7,FY17-18,535,JHHCG PEDIATRICS AT HOME,0.120735862,1
01-07-2017,2017,7,FY17-18,550,Johns Hopkins HealthCare,1.234029801,11
01-07-2017,2017,7,FY17-18,555,JOHNS HOPKINS IMAGING LLC,0.607061998,4
01-07-2017,2017,7,FY17-18,587,EMRS PROJECT,1.642466549,24
01-07-2017,2017,7,FY17-18,600,Suburban Hospital,0.158986233,2
01-07-2017,2017,7,FY17-18,640,Howard County General Hospital,1.24658248,6
01-08-2017,2017,8,FY17-18,0,Unavailable,710.8965854,1848
01-08-2017,2017,8,FY17-18,101,University Administration,15.38836221,87
01-08-2017,2017,8,FY17-18,110,Homewood Student Affairs,3.398834803,39
01-08-2017,2017,8,FY17-18,115,Krieger School of Arts and Sciences,27.54649053,81
01-08-2017,2017,8,FY17-18,120,Whiting School of Engineering,6.123421946,19
01-08-2017,2017,8,FY17-18,125,School of Education,0.614607989,8
01-08-2017,2017,8,FY17-18,126,Carey Business School,1.940245863,8
01-08-2017,2017,8,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,9.920556251,32
