fiscalyear,school,from_full,to_full,total_trips,total_emissions
FY17-18,100.0,"Baltimore, MARYLAND, US","Atlanta, GEORGIA, US",1,112.15071932
FY17-18,100.0,"Baltimore, MARYLAND, US","Denver, COLORADO, US",2,525.74987158
FY17-18,100.0,"Baltimore, MARYLAND, US","Las Vegas, NEVADA, US",3,1113.94580799
FY17-18,100.0,"Baltimore, MARYLAND, US","Los Angeles, CALIFORNIA, US",1,410.76419981
FY17-18,100.0,"Baltimore, MARYLAND, US","Minneapolis/St Paul, MINNESOTA, US",1,181.97673239
FY17-18,100.0,"Denver, COLORADO, US","Baltimore, MARYLAND, US",4,1051.49974316
FY17-18,100.0,"Denver, COLORADO, US","Portland, OREGON, US",1,192.7041925
FY17-18,100.0,"Las Vegas, NEVADA, US","Baltimore, MARYLAND, US",1,371.31526933
FY17-18,100.0,"Las Vegas, NEVADA, US","Denver, COLORADO, US",2,244.19600102
FY17-18,100.0,"Las Vegas, NEVADA, US","Phoenix, ARIZONA, US",1,61.303012
FY17-18,100.0,"Los Angeles, CALIFORNIA, US","Baltimore, MARYLAND, US",1,410.76419981
FY17-18,100.0,"Minneapolis/St Paul, MINNESOTA, US","Las Vegas, NEVADA, US",1,229.26373943
FY17-18,100.0,"Phoenix, ARIZONA, US","Baltimore, MARYLAND, US",1,352.56375978
FY17-18,100.0,"Portland, OREGON, US","Denver, COLORADO, US",1,192.7041925
FY17-18,101.0,"Addis Ababa, ET","Gaborone, BW",2,874.59870966
FY17-18,101.0,"Albany, NEW YORK, US","Baltimore, MARYLAND, US",3,207.70902888
FY17-18,101.0,"Albuquerque, NEW MEXICO, US","Phoenix, ARIZONA, US",1,63.77962647
FY17-18,101.0,"Amsterdam, NL","Geneva, CH",4,330.01568188
FY17-18,101.0,"Amsterdam, NL","Lisbon, PT",4,810.9143376
FY17-18,101.0,"Amsterdam, NL","Washington, DISTRICT OF COLUMBIA, US",1,681.77658314
FY17-18,101.0,"Athens, GR","Munich, DE",1,183.73213496
FY17-18,101.0,"Athens, GR","Paris, FR",1,231.56345286
FY17-18,101.0,"Athens, GR","Philadelphia, PENNSYLVANIA, US",1,887.86628718
FY17-18,101.0,"Athens, GR","Rome, IT",1,131.46014752
FY17-18,101.0,"Atlanta, GEORGIA, US","Baltimore, MARYLAND, US",22,2467.3158250399997
FY17-18,101.0,"Atlanta, GEORGIA, US","Bermuda, BM",2,405.10336674
FY17-18,101.0,"Atlanta, GEORGIA, US","Buenos Aires, AR",1,886.98178201
FY17-18,101.0,"Atlanta, GEORGIA, US","Mexico City, MX",1,235.27837457
FY17-18,101.0,"Atlanta, GEORGIA, US","Montgomery, ALABAMA, US",1,35.09897942
FY17-18,101.0,"Atlanta, GEORGIA, US","New York, NEW YORK, US",1,148.23399423
FY17-18,101.0,"Atlanta, GEORGIA, US","San Jose, CALIFORNIA, US",1,373.08427967
FY17-18,101.0,"Atlanta, GEORGIA, US","Santa Ana, CALIFORNIA, US",2,676.8233542
FY17-18,101.0,"Atlanta, GEORGIA, US","Savannah, GEORGIA, US",2,102.89289856
FY17-18,101.0,"Austin, TEXAS, US","Baltimore, MARYLAND, US",2,473.74096774
FY17-18,101.0,"Austin, TEXAS, US","Dallas, TEXAS, US",2,90.87270014
FY17-18,101.0,"Baltimore, MARYLAND, US","Albany, NEW YORK, US",3,207.70902888
FY17-18,101.0,"Baltimore, MARYLAND, US","Atlanta, GEORGIA, US",16,1794.41150912
